order_id,order_date,customer_id,customer_type,category,quantity,unit_price,discount_rate,order_amount,profit,payment_method,order_status
O0001,2025-12-20,C050,普通客户,家居,1,160.0,0.02,156.8,63.69,银行卡,已完成
O0002,2025-08-14,C019,普通客户,数码,2,1108.0,0.02,2171.68,417.33,微信支付,已完成
O0003,2025-01-08,C006,企业客户,食品,7,634.0,0.12,3905.44,916.62,银行卡,已完成
O0004,2025-11-05,C035,普通客户,食品,4,1119.0,0.02,4386.48,1870.59,微信支付,已完成
O0005,2025-04-11,C016,普通客户,图书,2,1453.0,0.02,2847.88,-142.39,银行卡,已退款
O0006,2025-06-15,C010,普通客户,家居,3,892.0,0.02,2622.48,976.28,支付宝,已完成
O0007,2025-02-11,C038,会员客户,食品,7,871.0,0.08,5609.24,1142.27,支付宝,已完成
O0008,2025-12-23,C028,企业客户,食品,6,1356.0,0.12,7159.68,1493.27,微信支付,已完成
O0009,2025-06-07,C005,普通客户,食品,6,564.0,0.02,3316.32,1200.9,银行卡,已完成
O0010,2025-04-09,C018,会员客户,图书,3,781.0,0.08,0.0,0.0,支付宝,已取消
O0011,2025-09-11,C008,会员客户,服装,3,977.0,0.08,2696.52,488.73,支付宝,已完成
O0012,2025-08-08,C020,普通客户,服装,6,1329.0,0.02,7814.52,3267.23,支付宝,已完成
O0013,2025-01-18,C014,会员客户,食品,2,395.0,0.08,726.8,319.08,银行卡,已完成
O0014,2025-01-20,C031,会员客户,图书,5,177.0,0.08,814.2,212.26,微信支付,已完成
O0015,2025-11-01,C018,普通客户,数码,7,322.0,0.02,2208.92,741.92,微信支付,已完成
O0016,2025-10-20,C011,普通客户,家居,6,820.0,0.02,4821.6,1396.32,银行卡,已完成
O0017,2025-08-21,C024,普通客户,服装,7,210.0,0.02,1440.6,601.17,支付宝,已完成
O0018,2025-09-14,C046,会员客户,数码,6,1114.0,0.08,6149.28,2226.09,支付宝,已完成
O0019,2025-02-12,C033,普通客户,数码,1,1209.0,0.02,1184.82,339.31,银行卡,已完成
O0020,2025-10-28,C020,会员客户,数码,3,1447.0,0.08,0.0,0.0,微信支付,已取消
O0021,2025-01-31,C035,普通客户,图书,4,721.0,0.02,2826.32,1102.25,银行卡,已完成
O0022,2025-12-02,C005,会员客户,数码,7,1000.0,0.08,0.0,0.0,微信支付,已取消
O0023,2025-11-13,C048,普通客户,数码,3,776.0,0.02,2281.44,633.44,银行卡,已完成
O0024,2025-06-29,C012,普通客户,家居,7,696.0,0.02,4774.56,-238.73,银行卡,已退款
O0025,2025-08-08,C045,会员客户,服装,2,1080.0,0.08,1987.2,561.38,支付宝,已完成
O0026,2025-02-13,C021,企业客户,服装,5,1073.0,0.12,4721.2,1540.96,支付宝,已完成
O0027,2025-10-31,C002,会员客户,服装,5,1210.0,0.08,5566.0,1474.41,微信支付,已完成
O0028,2025-10-24,C036,普通客户,食品,1,299.0,0.02,293.02,128.25,银行卡,已完成
O0029,2025-10-12,C015,普通客户,图书,1,1169.0,0.02,1145.62,467.73,银行卡,已完成
O0030,2025-03-22,C041,企业客户,食品,6,1017.0,0.12,5369.76,1339.46,微信支付,已完成
O0031,2025-09-10,C025,普通客户,家居,1,353.0,0.02,345.94,72.25,支付宝,已完成
O0032,2025-11-16,C031,会员客户,家居,4,535.0,0.08,0.0,0.0,支付宝,已取消
O0033,2025-01-23,C045,会员客户,图书,2,1132.0,0.08,2082.88,401.65,微信支付,已完成
O0034,2025-05-07,C005,普通客户,数码,6,419.0,0.02,2463.72,980.93,银行卡,已完成
